n_sites,deployment_days_per_site,replicate,method,split,covs_rmse,psi_rmse,z_acc,time
50,28,0,spOcc,train,0.25584934895517586,0.47460545477269206,0.575,1.3501061638817191
50,28,0,spOcc,test,0.25584934895517586,0.4947861625304398,0.6,1.3501061638817191
50,28,0,Unmarked,train,0.24407646012115336,0.4745293180567255,0.575,0.45377401215955615
50,28,0,Unmarked,test,0.24407646012115336,0.494426248300767,0.6,0.45377401215955615
50,28,0,NumPyro,train,0.2402765711271819,0.47466412,0.55,17.937065451871604
50,28,0,NumPyro,test,0.2402765711271819,0.49540254,0.6,17.937065451871604
50,28,1,spOcc,train,0.47011895337893117,0.44493557693363905,0.725,0.21411455376073718
50,28,1,spOcc,test,0.47011895337893117,0.5525518373658325,0.4,0.21411455376073718
50,28,1,Unmarked,train,1.4529094703620007,0.4771989250866018,0.725,0.03568824613466859
50,28,1,Unmarked,test,1.4529094703620007,0.6532881377687036,0.4,0.03568824613466859
50,28,1,NumPyro,train,0.4463522428989965,0.44433025,0.725,9.80515413498506
50,28,1,NumPyro,test,0.4463522428989965,0.55719435,0.4,9.80515413498506
50,28,2,spOcc,train,1.0272014491716868,0.4861626687430682,0.65,0.15205918485298753
50,28,2,spOcc,test,1.0272014491716868,0.548732989363046,0.4,0.15205918485298753
50,28,2,Unmarked,train,1.3031022983231833,0.5294653886966746,0.525,0.034304515924304724
50,28,2,Unmarked,test,1.3031022983231833,0.6567404732494448,0.4,0.034304515924304724
50,28,2,NumPyro,train,1.0180839255244107,0.48970038,0.625,9.712046974338591
50,28,2,NumPyro,test,1.0180839255244107,0.56763643,0.4,9.712046974338591
50,28,3,spOcc,train,0.46142762811431115,0.3899605576021899,0.825,0.18375146994367242
50,28,3,spOcc,test,0.46142762811431115,0.4731030959490416,0.6,0.18375146994367242
50,28,3,Unmarked,train,0.3896510146881241,0.3847441426742295,0.825,0.031362655106931925
50,28,3,Unmarked,test,0.3896510146881241,0.4805510868775319,0.7,0.031362655106931925
50,28,3,NumPyro,train,0.4671638200570846,0.39021322,0.825,9.419570480007678
50,28,3,NumPyro,test,0.4671638200570846,0.47355357,0.6,9.419570480007678
50,28,4,spOcc,train,0.7108685693635332,0.4511572054152009,0.675,0.14866559486836195
50,28,4,spOcc,test,0.7108685693635332,0.28705363575311643,0.9,0.14866559486836195
50,28,4,Unmarked,train,0.937477519475023,0.44943484587080046,0.675,0.02855434501543641
50,28,4,Unmarked,test,0.937477519475023,0.26367781470704005,0.9,0.02855434501543641
50,28,4,NumPyro,train,0.6932857366807851,0.45113766,0.675,9.691108746919781
50,28,4,NumPyro,test,0.6932857366807851,0.27913967,0.90000004,9.691108746919781
50,28,5,spOcc,train,0.3633053301619794,0.4404991353706123,0.725,0.15278266603127122
50,28,5,spOcc,test,0.3633053301619794,0.4833784256991027,0.6,0.15278266603127122
50,28,5,Unmarked,train,0.2972545485287495,0.4382479107151506,0.725,0.030836695339530706
50,28,5,Unmarked,test,0.2972545485287495,0.4874093359573197,0.5,0.030836695339530706
50,28,5,NumPyro,train,0.36088766865401445,0.44033813,0.725,9.905760147143155
50,28,5,NumPyro,test,0.36088766865401445,0.4828133,0.6,9.905760147143155
50,28,6,spOcc,train,0.9146105229671085,0.39385403626450544,0.675,0.36589674185961485
50,28,6,spOcc,test,0.9146105229671085,0.3654431202359767,0.8,0.36589674185961485
50,28,6,Unmarked,train,0.9114860093258181,0.394717266212232,0.7,0.03269042493775487
50,28,6,Unmarked,test,0.9114860093258181,0.3592980679116147,0.8,0.03269042493775487
50,28,6,NumPyro,train,0.9224992003205742,0.3943591,0.675,9.316530832089484
50,28,6,NumPyro,test,0.9224992003205742,0.36616558,0.8,9.316530832089484
50,28,7,spOcc,train,0.3790977311988634,0.49731531501250625,0.525,0.36376977199688554
50,28,7,spOcc,test,0.3790977311988634,0.4420390109058955,0.9,0.36376977199688554
50,28,7,Unmarked,train,0.48579303716445266,0.4978044123578567,0.525,0.036163246259093285
50,28,7,Unmarked,test,0.48579303716445266,0.43422776207309255,0.9,0.036163246259093285
50,28,7,NumPyro,train,0.3837335856449047,0.49853206,0.52500004,9.438586925156415
50,28,7,NumPyro,test,0.3837335856449047,0.43701115,0.8,9.438586925156415
50,28,8,spOcc,train,0.7135925321511162,0.3623532533982889,0.825,0.24442661181092262
50,28,8,spOcc,test,0.7135925321511162,0.46185882492129543,0.7,0.24442661181092262
50,28,8,Unmarked,train,1.0040633324852453,0.3610539435317386,0.825,0.03073185496032238
50,28,8,Unmarked,test,1.0040633324852453,0.48423953920883434,0.7,0.03073185496032238
50,28,8,NumPyro,train,0.7333248147704191,0.36220494,0.825,9.337558900937438
50,28,8,NumPyro,test,0.7333248147704191,0.46367174,0.7,9.337558900937438
50,28,9,spOcc,train,0.7384386900437557,0.39527707401568807,0.8,0.32286533480510116
50,28,9,spOcc,test,0.7384386900437557,0.30315260331478394,1.0,0.32286533480510116
50,28,9,Unmarked,train,0.6551304293886812,0.39150104168277233,0.8,0.030753655824810266
50,28,9,Unmarked,test,0.6551304293886812,0.28002247299124977,1.0,0.030753655824810266
50,28,9,NumPyro,train,0.744640036481138,0.3955738,0.77500004,9.562298472039402
50,28,9,NumPyro,test,0.744640036481138,0.2855715,1.0,9.562298472039402
50,56,0,spOcc,train,0.19751711583887682,0.4737994767563529,0.55,0.22143536899238825
50,56,0,spOcc,test,0.19751711583887682,0.498252168980707,0.6,0.22143536899238825
50,56,0,Unmarked,train,0.1949843914821236,0.47383909892225407,0.55,0.03802072582766414
50,56,0,Unmarked,test,0.1949843914821236,0.49850763164753814,0.6,0.03802072582766414
50,56,0,NumPyro,train,0.19993026704552144,0.4737979,0.55,11.834574273321778
50,56,0,NumPyro,test,0.19993026704552144,0.49867338,0.6,11.834574273321778
50,56,1,spOcc,train,0.3793091637725663,0.43785531045464654,0.75,0.3764740959741175
50,56,1,spOcc,test,0.3793091637725663,0.5563811367230221,0.4,0.3764740959741175
50,56,1,Unmarked,train,0.3608186586738472,0.43706560843262277,0.725,0.03961370699107647
50,56,1,Unmarked,test,0.3608186586738472,0.5548857041113366,0.4,0.03961370699107647
50,56,1,NumPyro,train,0.3538148883513972,0.4388331,0.75,9.518891443964094
50,56,1,NumPyro,test,0.3538148883513972,0.5547893,0.4,9.518891443964094
50,56,2,spOcc,train,0.3463134672979394,0.47438331537226236,0.6,0.357188634108752
50,56,2,spOcc,test,0.3463134672979394,0.5143960679219471,0.5,0.357188634108752
50,56,2,Unmarked,train,0.38390407862350573,0.4778180800083105,0.625,0.04779487755149603
50,56,2,Unmarked,test,0.38390407862350573,0.5248174748033912,0.5,0.04779487755149603
50,56,2,NumPyro,train,0.35820122110220215,0.47451904,0.625,9.82678896188736
50,56,2,NumPyro,test,0.35820122110220215,0.51621455,0.5,9.82678896188736
50,56,3,spOcc,train,0.640995327391758,0.3153632839194914,0.875,0.33498670998960733
50,56,3,spOcc,test,0.640995327391758,0.18507914990172053,1.0,0.33498670998960733
50,56,3,Unmarked,train,1.9094839568943585,0.294075224244641,0.875,0.04703984782099724
50,56,3,Unmarked,test,1.9094839568943585,0.09541860319504405,1.0,0.04703984782099724
50,56,3,NumPyro,train,0.6239533941239548,0.3160764,0.875,9.982425494119525
50,56,3,NumPyro,test,0.6239533941239548,0.17745076,1.0,9.982425494119525
50,56,4,spOcc,train,0.4023051465150934,0.4510644643201633,0.675,0.2076241378672421
50,56,4,spOcc,test,0.4023051465150934,0.28463569762821034,0.9,0.2076241378672421
50,56,4,Unmarked,train,0.36321931580073513,0.44953314136056477,0.675,0.04021014738827944
50,56,4,Unmarked,test,0.36321931580073513,0.261229709739738,0.9,0.04021014738827944
50,56,4,NumPyro,train,0.4040379712676792,0.4510809,0.675,9.789319003000855
50,56,4,NumPyro,test,0.4040379712676792,0.2749369,0.90000004,9.789319003000855
50,56,5,spOcc,train,0.36576178948952515,0.4389966675774668,0.725,0.2794613800942898
50,56,5,spOcc,test,0.36576178948952515,0.4848990909155694,0.7,0.2794613800942898
50,56,5,Unmarked,train,0.338233868547821,0.4376140688679172,0.725,0.040328297298401594
50,56,5,Unmarked,test,0.338233868547821,0.4863697028963793,0.7,0.040328297298401594
50,56,5,NumPyro,train,0.3680708406657411,0.43915883,0.725,9.486735671758652
50,56,5,NumPyro,test,0.3680708406657411,0.48167792,0.7,9.486735671758652
50,56,6,spOcc,train,0.8182979196536915,0.3887048895665016,0.7,0.22052877116948366
